∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
104,90106900033,901,690,33,πÈøÓ¥Î ¡∂∏¡¡°,Baekundae Viewpoint,50,86,510.2000122,128.6728205,37.7955572,X,90106020006
105,90106900034,901,690,34,ªÔ∆¯∆˜ ¡∂∏¡¡°,Sampokpo Viewpoint,22,136,533.5300293,128.6716475,37.793132,X,90106040004
106,90106900035,901,690,35,±§∆¯∆˜ ¡∂∏¡¡°,Gwangpokpo Viewpoint,256,66,597.2800293,128.6691628,37.7885507,X,90106040003
107,90106900036,901,690,36,ªÁπÆ¥Ÿ¡ˆ ¡∂∏¡¡°,samundaji Viewpoint,0,0,661.4500122,128.6649065,37.7867139,X,
108,90106900037,901,690,37,≥´øµ∆¯∆˜ ¡∂∏¡¡°,Nakyoungpokpo Viewpoint,187,186,830.4299927,128.6548986,37.7826536,X,90106040002
109,90106900038,901,690,38,º“±›∞≠∞Ë∞Ó ¡∂∏¡¡°,Sogeumganggyegok Viewpoint,0,0,369.269989,128.6844263,37.8018677,X,
110,90106900039,901,690,39,±∏∑Ê∞Ë∞Ó ¡∂∏¡¡°,Guryonggyegok Viewpoint,0,0,366.25,128.6846553,37.8017801,X,
111,90106900040,901,690,40,øÎºˆ∞Ò ¡∂∏¡¡°,Yongsugol Viewpoint,7811,291,114.1200027,128.7211846,37.8427621,X,90106030001
112,90106900041,901,690,41,øÎºˆ∆¯∆˜ ¡∂∏¡¡°,yongsupokpo Viewpoint,840,247,111.6999969,128.7206033,37.8426712,X,90106040005
113,90106900042,901,690,42,ø˘¡§ªÁ ∆»∞¢9√˛ ºÆ≈æ ¡∂∏¡¡°,Woljeongsa 9 cheungseoktap Viewpoint,0,0,686.210022,128.5921437,37.7315833,X,
