∞¸∏Æπ¯»£(OBJECTID),±π∏≥∞¯ø¯∞¸∏Æπ¯»£(ID_CD),∞¯ø¯ªÁπ´º“ƒ⁄µÂ(PO_CD),∫–∑˘ƒ⁄µÂ(CLASS_CD),¿œ∑√π¯»£(SEQNO),∏Ìƒ™_«—±€(KOR_NM),∏Ìƒ™_øµæÓ(ENG_NM),¡∂∏¡±Ê¿Ã(VIEW_LENG),¡∂∏¡πÊ¿ß∞¢(VIEW_AZ),∞Ìµµ(ELEVATION),∞Êµµ(LONGITUDE),¿ßµµ(LATITUDE),Ω…∫ºƒ⁄µÂ(SYMBOL_CD),∞Ê∞¸¿⁄ø¯Ωƒ∫∞ƒ⁄µÂ(SCENE_ID)
300,170107000000,1701,690,13,¡÷¡ˆ∫¿ ¡∂∏¡¡°,Jujibong Viewpoint,3345,195,559.25,126.684333,34.7529545,X,170106000000
301,170107000000,1701,690,14,ø˘∞¢ªÍ ¡∂∏¡¡°,Wolgaksan Viewpoint,4486,269,559.3599854,126.6843302,34.7529564,X,170106000000
302,170107000000,1701,690,15,«‚≈‰∫¿ ¡∂∏¡¡°,Hyangtobong Viewpoint,0,0,559.2999878,126.6843308,34.7529582,X,
303,170107000000,1701,690,16,æÔªıπÁ ¡∂∏¡¡°,eogsaebat Viewpoint,0,0,572.9500122,126.6862772,34.7537228,X,
304,170107000000,1701,690,17,ªÔµøºÆ ¡∂∏¡¡°,Samdongseok Viewpoint,0,0,720.2600098,126.6937106,34.7602993,X,
305,170107000000,1701,690,18,ø˘√‚ªÍ ∏∂æ÷ø©∑°¡¬ªÛ ¡∂∏¡¡°,Wolchulsan Maaeyeoraejwasang Viewpoint,0,0,606.1099854,126.6897152,34.7645713,X,
306,170107000000,1701,690,19,ªÔ√˛ºÆ≈æ ¡∂∏¡¡°,Samcheukseoktap Viewpoint,0,0,606.1500244,126.6896968,34.7645662,X,
307,170107000000,1701,690,20,ø˘√‚ªÍ øÎæœªÁ¡ˆ ºÆ≈æ ¡∂∏¡¡°,Wolchulsan Yongamsaji Seoktap Viewpoint,0,0,577.8200073,126.6904188,34.76284,X,
308,170107000000,1701,690,21,ªÁ¿⁄∫¿ ¡∂∏¡¡°,Sajabong Viewpoint,982,11,0,126.70156,34.7650748,X,170106000000
309,170107000000,1701,690,22,¿Â±∫∫¿ ¡∂∏¡¡°,Janggunbong Viewpoint,923,45,827.8099976,126.7041967,34.7668016,X,170106000000
310,170107000000,1701,690,23,±∏¡§∫¿ ¡∂∏¡¡°,Gujeongbong Viewpoint,1097,211,834.9199829,126.703974,34.7666513,X,170106000000
311,170107000000,1701,690,24,«‚∑Œ∫¿ ¡∂∏¡¡°,Hyangrobong Viewpoint,1274,220,834.0200195,126.7039609,34.766628,X,170106000000
312,170107000000,1701,690,25,≥Î¿˚∫¿ ¡∂∏¡¡°,Nojokbong Viewpoint,,,,,,,
,2815,185,833.039978,126.7039349,34.7666808,X,1.70E+11,,,,,,
313,170107000000,1701,690,26,ªÁ∏Æ∫¿ ¡∂∏¡¡°,Saribong Viewpoint,3104,155,833,126.7039357,34.7666823,X,170106000000
314,170107000000,1701,690,27,∞≈∫œπŸ¿ß ¡∂∏¡¡°,Geobuk Rock Viewpoint,0,0,831.5300293,126.7041233,34.7667814,X,
315,170107000000,1701,690,28,∫“ªÛπŸ¿ß ¡∂∏¡¡°,Buddha Rock ViewPoint,0,0,800.2299805,126.7035306,34.7663695,X,
316,170107000000,1701,690,29,øµæœπŸ¿ß ¡∂∏¡¡°,Yeongam Rock Viewpoint,0,0,705.1799927,126.7015436,34.76473,X,
317,170107000000,1701,690,30,±∏∏€πŸ¿ß ¡∂∏¡¡°,Gumeong Rock Viewpoint,,,,,,,
,0,0,680.8300171,126.7007879,34.7635803,X,,,,,,,
318,170107000000,1701,690,31,∞≈∫œπŸ¿ß ¡∂∏¡¡°,Geobuk Rock Viewpoint,0,0,679.5300293,126.7007925,34.763584,X,
319,170107000000,1701,690,32,µ≈¡ˆπŸ¿ß ¡∂∏¡¡°,Dwaeji Rock Viewpoint,0,0,660.5999756,126.7004857,34.7633343,X,
320,170107000000,1701,690,33,≥≤±ŸπŸ¿ß ¡∂∏¡¡°,Namgeun Rock Viewpoint,52,47,641.4400024,126.6990117,34.7618806,X,170106000000
321,170107000000,1701,690,34,ªÁ∂˚πŸ¿ß ¡∂∏¡¡°,Sarang Rock Viewpoint,0,0,641.039978,126.6990028,34.7618763,X,
322,170107000000,1701,690,35,µø¿⁄πŸ¿ß ¡∂∏¡¡°,Dongjabawi Rock Viewpoint,0,0,639.8400269,126.6983885,34.7613493,X,
323,170107000000,1701,690,36,¿Â±∫πŸ¿ß ¡∂∏¡¡°,Janggun Rock Viewpoint,0,0,639.7399902,126.6983836,34.7613468,X,
324,170107000000,1701,690,37,øµæœπŸ¿ß ¡∂∏¡¡°,Yeongam Rock Viewpoint,0,0,639.9199829,126.6983763,34.761357,X,
325,170107000000,1701,690,38,¿«¿⁄πŸ¿ß ¡∂∏¡¡°,Uija Rock Viewpoint,0,0,639.7700195,126.6983717,34.7613389,X,
326,170107000000,1701,690,39,∞Ê∆˜∞Ë∞Ó ¡∂∏¡¡°,Gyeongpo Valley Viewpoint,0,0,333.8099976,126.7063219,34.7553798,X,
327,170107000000,1701,690,40,±›∏™∞Ê∆˜¥Î ¡∂∏¡¡°,Keumleung Gyeongpodae Viewpoint,0,0,237.4100037,126.7087502,34.7497178,X,
328,170107000000,1701,690,41,ø’¿ŒºÆªÛ ¡∂∏¡¡°,Wanginseoksang Viewpoint,0,0,195.4499969,126.6440073,34.7583504,X,
329,170107000000,1701,690,42,√•±º ¡∂∏¡¡°,Chaekgul Viewpoint,0,0,195.0099945,126.6440549,34.7583549,X,
330,170107000000,1701,690,43,πÆªÍ¿Á ¡∂∏¡¡°,Munsanje Viewpoint,0,0,168.5200043,126.6439851,34.7577161,X,
331,170107000000,1701,690,44,æÁªÁ¿Á ¡∂∏¡¡°,Yangsaje Viewpoint,0,0,168.8200073,126.6438123,34.7577436,X,
332,170107000000,1701,690,45,ø’¿Œπ⁄ªÁ¿Ø¿˚¡ˆ ¡∂∏¡¡°,Wanginbaksa Sites Viewpoint,0,0,43.59999847,126.6286132,34.7570431,X,
333,170107000000,1701,690,46,µµ∞©ªÁ¥Îøı¿¸ ¡∂∏¡¡°,Wanginbaksa Sites Viewpoint,0,0,121.5100021,126.6628535,34.7527836,X,
334,170107000000,1701,690,47,µµ∞©ªÁ ø¿√˛ºÆ≈æ ¡∂∏¡¡°,Dogapsa Ohcheungseoktap Viewpoint,0,0,119.4800034,126.6628484,34.7528234,X,
335,170107000000,1701,690,48,ø˘√‚ªÍ ¡∂∏¡¡°,Wolchulsan Viewpoint,0,0,119.5699997,126.6628104,34.7529654,X,
336,170107000000,1701,690,49,µµ∞©ªÁ ºˆπÃø’ªÁ∫Ò ¡∂∏¡¡°,Dogapsa Sumi Wangsabi Viewpoint,0,0,125.1299973,126.6634429,34.752399,X,
337,170107000000,1701,690,50,µµº±±πªÁ¡¯øµ ¡∂∏¡¡°,Doseonguksajinyoung VIewPoint,0,0,120.5199966,126.6634609,34.7525813,X,
338,170107000000,1701,690,51,øÎºˆ∆¯∆˜ ¡∂∏¡¡°,Yongsupokpo Viewpoint,0,0,123.2300034,126.6638719,34.7536032,X,
339,170107000000,1701,690,52,µµ∞©ªÁ ºÆ¡∂ø©∑°¡¬ªÛ ¡∂∏¡¡°,Dogapsa Seokjoyeoraejwasang Viewpoint,0,0,135.2799988,126.6638513,34.753942,X,
340,170107000000,1701,690,53,µµº±ºˆπÃ∫Ò ¡∂∏¡¡°,Doseonsumibi Viewpoint,0,0,137.9600067,126.6652906,34.7544102,X,
341,170107000000,1701,690,54,∏Ò¡∂πÆºˆ ¡∂∏¡¡°,Mokjomunsu Viewpoint,0,0,121.1699982,126.6626906,34.7527215,X,
342,170107000000,1701,690,55,∞°ººπŸ¿ß ¡∂∏¡¡°,Gasebawi Viewpoint,0,0,108.4000015,126.651012,34.7585652,X,
343,170107000000,1701,690,56,∫∏«ˆµø¿⁄ªÛ ¡∂∏¡¡°,Bohyeondongjwasang Viewpoint,0,0,0,126.6621975,34.7527835,X,
344,170107000000,1701,690,57,µµ∞©ªÁºÆ¡∂ ¡∂∏¡¡°,Dogapsaseokjo Viewpoint,0,0,0,126.6652624,34.7544024,X,
345,170107000000,1701,690,58,µµº±±πªÁºˆπÃº±ªÁ∫Ò ¡∂∏¡¡°,Doseongugsasumiseonsabi Viewpoint,0,0,0,126.6652741,34.7544296,X,
346,170107000000,1701,690,59,ºˆπÃø’ªÁ¡¯øµ ¡∂∏¡¡°,Sumiwangsajinyeong Viewpoint,0,0,0,126.6634269,34.7525695,X,
347,170107000000,1701,690,60,π´¿ßªÁ ªÔ√˛ºÆ≈æ ¡∂∏¡¡°,Muwisa samcheungseogtab Viewpoint,0,0,177.25,126.6865575,34.738598,X,
348,170107000000,1701,690,61,π´¿ßªÁ º±∞¢¥ÎªÁ≈æ∫Ò ¡∂∏¡¡°,Muwisa seongagdaesatabbi Viewpoint,0,0,177.8000031,126.6863638,34.7387066,X,
349,170107000000,1701,690,62,π´¿ßªÁ ±ÿ∂Ù∏¿¸ ¡∂∏¡¡°,Muwisa geuglagmojeon Viewpoint,0,0,177.0399933,126.6867843,34.7387092,X,
350,170107000000,1701,690,63,π´¿ßªÁ ≥ª∫ÆªÁ∏È∫Æ»≠ ¡∂∏¡¡°,Muwisa naebyeogsamyeonbyeoghwa Viewpoint,0,0,177.1399994,126.686352,34.7385219,X,
351,170107000000,1701,690,64,π´¿ßªÁ ø©∑°ªÔ¡∏∫Æ»≠ ¡∂∏¡¡°,Muwisa yeolaesamjonbyeoghwa Viewpoint,0,0,176.0200043,126.6867812,34.7387133,X,
352,170107000000,1701,690,65,π´¿ßªÁ πÈ¿«∞¸¿Ωµµ ¡∂∏¡¡°,Muwisa baeguigwaneumdo Viewpoint,0,0,175.0500031,126.6867851,34.7387145,X,
353,170107000000,1701,690,66,πÃø’¿Á ¡∂∏¡¡°,Miwangjae Viewpoint,85,292,566.0700073,126.6851957,34.7529467,X,170106000000
354,170107000000,1701,690,67,πŸ∂˜∞Ë∞Ó ¡∂∏¡¡°,Balamgyegog Viewpoint,0,0,364.6099854,126.7115492,34.7700345,X,
355,30106900001,301,690,1,±›ªÍ ¡∂∏¡¡°,Geumsan Viewpoint,560,27,637.0599976,127.9802237,34.7493864,X,30106010016
356,30106900002,301,690,2,∫Ò¡¯µµ«ÿºˆøÂ¿Â ¡∂∏¡¡°,Bijindo Beach Viewpoint,44,357,44.13000107,128.4600514,34.7162594,X,30106050010
357,30106900003,301,690,3,∫Ò¡¯µµ«ÿºˆøÂ¿Â ¡∂∏¡¡°,Bijindo Beach Viewpoint,204,190,32.65999985,128.4604371,34.7188731,X,30106050010
358,70106900001,701,690,1,∞°ªÍ ¡∂∏¡¡°,Gasan Viewpoint,3819,69,1082.670044,128.0956532,35.7726635,X,70106010020
359,70106900002,701,690,2,µŒ∏Æ∫¿ ¡∂∏¡¡°,Duribong Peak Viewpoint,6448,355,1082.829956,128.095658,35.7726649,X,70106010017
360,70106900003,701,690,3,∏≈»≠ªÍ ¡∂∏¡¡°,Maehasan Viewpoint,936,153,1082.800049,128.0956546,35.7726637,X,70106010016
361,70106900004,701,690,4,≥≤ªÍ¡¶¿œ∫¿ ¡∂∏¡¡°,Namsan Jeilbong Peak Viewpoint,114,133,1024.48999,128.0946981,35.7734265,X,70106010005
362,70106900005,701,690,5,ªÛø’∫¿ ¡∂∏¡¡°,Sangwanbong Peak Viewpoint,208,300,1456.540039,128.1225537,35.8225879,X,70106010002
363,70106900006,701,690,6,µøº∫∫¿ ¡∂∏¡¡°,Dongsungbong Peak Viewpoint,1391,79,1312.459961,128.1244303,35.8204915,X,70106010015
364,70106900007,701,690,7,∫Ò∫¿ªÍ ¡∂∏¡¡°,Bibongsan Viewpoint,3423,349,1082.829956,128.095658,35.7726649,X,70106010019
365,70106900008,701,690,8,ø¿∫¿ªÍ ¡∂∏¡¡°,Obongsan Viewpoint,838,349,1082.839966,128.095658,35.772665,X,70106010018
366,80106900001,801,690,1,π´∑ÊªÍ ¡∂∏¡¡°,Muryongsan Peak Viewpoint,7014,199,1602,127.7462533,35.8598245,X,80106010002
367,80106900002,801,690,2,¥ˆ¿Ø∆Ú¿¸ π◊ «‚¿˚∫¿ ¡∂∏¡¡°,Deokyupyeongjeon and Hyangjeokbong Peak Viewpoint,519,35,1485,127.7439502,35.847466,X,80106090001
368,80106900003,801,690,3,ƒ•ø¨∞Ë∞Ó ¡∂∏¡¡°,Chilyeon Valley Viewpoint,561,98,587,127.700569,35.8376698,X,80106030002
369,130107000000,1301,690,1,≥≤¥Î∫¿ ¡∂∏¡¡°,Namdaebong Peak Viewpoint,2999,147,1027,128.0338799,37.3310182,X,130106000000
370,130107000000,1301,690,2,≥≤¥Î∫¿ ¡∂∏¡¡°,Namdaebong Peak Viewpoint,665,140,1122,128.0473041,37.3127064,X,130106000000
371,130107000000,1301,690,3,Ω√∏Ì∫¿ ¡∂∏¡¡°,Simyeongbong Peak Viewpoint,2050,176,1128,128.0472993,37.312664,X,130106000000
372,130107000000,1301,690,4,Ω√∏Ì∫¿ ¡∂∏¡¡°,Simyeongbong Peak Viewpoint,1530,191,1176,128.0520627,37.3080442,X,130106000000
373,130107000000,1301,690,5,≈ı±∏∫¿ π◊ ªÔ∫¿ ¡∂∏¡¡°,Tugubong Peak and Sambong Peak Viewpoint,2057,338,1107,128.0465178,37.3590036,X,130106000000
374,130107000000,1301,690,6,∫Ò∑Œ∫¿ ¡∂∏¡¡°,Birobong Peak Viewpoint,853,68,1130,128.046601,37.3622526,X,130106000000
375,130107000000,1301,690,7,∫Ò∑Œ∫¿ ¡∂∏¡¡°,Birobong Peak Viewpoint,335,104,1220,128.0519818,37.366004,X,130106000000
376,140107000000,1401,690,1,ºÆπÆ ¡∂∏¡¡°,Stone Gate Viewpoint,14,113,217.7899933,128.3432614,37.0036729,X,140106000000
377,140107000000,1401,690,2,∫œπŸ¿ßªÍ ¡∂∏¡¡°,Bukbawisan Viewpoint,3414,288,343.5700073,128.0958048,36.8342158,X,140106000000
378,140107000000,1401,690,3,∫œπŸ¿ßªÍ ¡∂∏¡¡°,Bukbawisan Viewpoint,3442,288,343.9700012,128.0961818,36.8343302,X,140106000000
379,140107000000,1401,690,4,øµ∫¿ ¡∂∏¡¡°,Yeongbong Viewpoint,474,137,978.960022,128.102197,36.8892078,X,140106000000
380,140107000000,1401,690,5,∆˜æœªÍ ¡∂∏¡¡°,Poamsan Viewpoint,1004,41,561.0200195,128.1109636,36.8147307,X,140106000000
381,140107000000,1401,690,6,∫Œ∫¿ ¡∂∏¡¡°,Bubong Viewpoint,292,284,868.0499878,128.0865966,36.7990054,X,140106000000
382,140107000000,1401,690,7,∏∏ºˆ∫¿ ¡∂∏¡¡°,Mansubong Viewpoint,5613,33,940.0499878,128.0839715,36.7996709,X,140106000000
383,140107000000,1401,690,8,∏∂∆–∫¿ ¡∂∏¡¡°,Mapaebong Viewpoint,2921,310,944,128.08399,36.7996853,X,140106000000
384,140107000000,1401,690,9,µµ∂ÙªÍ ¡∂∏¡¡°,Doraksan Viewpoint,640,115,860.3200073,128.3047311,36.8588159,X,140106000000
385,140107000000,1401,690,10,øµ∫¿ ¡∂∏¡¡°,Yeongbong Viewpoint,6243,41,786.8499756,128.0596085,36.843799,X,140106000000
386,140107000000,1401,690,11,∏∏ºˆ∫¿ ¡∂∏¡¡°,Mansubong Viewpoint,5316,92,787.3200073,128.0596001,36.8438029,X,140106000000
387,140107000000,1401,690,12,ø¡º¯∫¿ ¡∂∏¡¡°,Oksunbong Viewpoint,1103,308,361.75,128.2468908,36.9374856,X,140106000000
388,140107000000,1401,690,13,±∏¥„∫¿ ¡∂∏¡¡°,Gudambong Viewpoint,1112,128,314.8699951,128.2372678,36.9437066,X,140106000000
389,140107000000,1401,690,14,±›ºˆªÍ ¡∂∏¡¡°,Geumsusan Viewpoint,7128,349,749.0700073,128.2711394,36.9218113,X,140106000000
390,140107000000,1401,690,15,∞°¿∫ªÍ ¡∂∏¡¡°,Gaeunsan Viewpoint,3835,340,749.0200195,128.2711394,36.9218109,X,140106000000
391,140107000000,1401,690,16,∏ª∏ÒªÍ ¡∂∏¡¡°,Malmoksan Viewpoint,2353,7,748.8800049,128.2711389,36.9218112,X,140106000000
392,140107000000,1401,690,17,¡¶∫Ò∫¿ ¡∂∏¡¡°,Jebibong Viewpoint,1540,117,324.8500061,128.2559113,36.9280922,X,140106000000
393,140107000000,1401,690,18,∫Œ∫¿ ¡∂∏¡¡°,Bubong Viewpoint,2887,130,955.210022,128.0590685,36.8167976,X,140106000000
394,140107000000,1401,690,19,øµ∫¿ ¡∂∏¡¡°,Yeongbong Viewpoint,1306,7,940.7000122,128.1038069,36.8744087,X,140106000000
395,180107000000,1801,690,1,¿«ªÛ∫¿ ¡∂∏¡¡°,Uisangbong Viewpoint,1834,280,330.6700134,126.6170157,35.6749126,X,180106000000
396,180107000000,1801,690,6,∞¸¿Ω∫¿ ¡∂∏¡¡°,Gwaneumbong Viewpoint,331,5,298.2399902,126.5821879,35.6201558,X,180106000000
397,180107000000,1801,690,2,ºº∫¿ ¡∂∏¡¡°,Sebong Viewpoint,1089,354,67.95999908,126.5877529,35.6167547,X,180106000000
398,180107000000,1801,690,8,¿«ªÛ∫¿ ¡∂∏¡¡°,Uisangbong Viewpoint,1454,327,215.9100037,126.6057602,35.6665933,X,180106000000
399,180107000000,1801,690,7,øÎ∞¢∫¿ ¡∂∏¡¡°,Yonggakbong Viewpoint,802,248,228.8600006,126.6251246,35.6279531,X,180106000000
400,180107000000,1801,690,3,ø¡≥‡∫¿ ¡∂∏¡¡°,Oknyeobong Viewpoint,1351,324,66.73000336,126.6312605,35.6257225,X,180106000000
401,180107000000,1801,690,4,Ω÷º±∫¿ ¡∂∏¡¡°,Ssangseonbong Viewpoint,507,124,345.769989,126.5535163,35.6473209,X,180106000000
402,180107000000,1801,690,5,¥ﬂ¿Ã∫¿ ¡∂∏¡¡°,Dakibong Viewpoint,1216,175,38.56999969,126.4663328,35.6354868,X,180106000000
